taxonID,parent,synonymOf,name,authorship,taxonRank,status,genus,specificEpithet,infraspecificEpithet
11260747,,2932113.0,Solanum vespertilio doramii,MarreroRodr. & Gonz.-Mart.,subspecies,synonym,Solanum,vespertilio,doramii
2932116,,,Solanum vespertilio doramae,Marrero Rodr. & Gonz.-Mart.,subspecies,accepted,Solanum,vespertilio,doramae
2930797,,2930795.0,Cyphomandra tobagensis,Sandwith,species,synonym,Cyphomandra,tobagensis,
2930796,,2930795.0,Cyphomandra bolivarensis,Steyerm.,species,synonym,Cyphomandra,bolivarensis,
7299641,,2929049.0,Solanum brevidens brevidens,,variety,synonym,Solanum,brevidens,brevidens
7421123,,2929049.0,Solanum brevidens glabrescens,(Poepp. ex Schltdl.) Hawkes ex Correll,variety,synonym,Solanum,brevidens,glabrescens
7503985,,2929049.0,Solanum palustre parviflora,Schltr.,variety,synonym,Solanum,palustre,parviflora
2932061,,2932060.0,Solanum nitidum hutchisonii,J.F.Macbr.,variety,synonym,Solanum,nitidum,hutchisonii
3801289,,3800197.0,Solanum fabrisii,Cabrera,species,synonym,Solanum,fabrisii,
3802899,,3800197.0,Solanum adenochlamys,Bitter,species,synonym,Solanum,adenochlamys,
3797050,,3800197.0,Solanum profusum,C.V.Morton,species,synonym,Solanum,profusum,
2929826,,2929825.0,Solanum praematurum,Dammer,species,synonym,Solanum,praematurum,
2929828,,2929825.0,Solanum vagans,C.H.Wright,species,synonym,Solanum,vagans,
2930993,,2929825.0,Solanum monotanthum,Dammer,species,synonym,Solanum,monotanthum,
2929830,,2929825.0,Solanum alloiophyllum,Dammer,species,synonym,Solanum,alloiophyllum,
2929829,,2929825.0,Solanum zanzibarense abbreviatum,Bitter,variety,synonym,Solanum,zanzibarense,abbreviatum
11095792,,2929825.0,Solanum alloiophyllum machisuguense,Bitter,subspecies,synonym,Solanum,alloiophyllum,machisuguense
2932222,,2932221.0,Solanum domingense,Dunal,species,heterotypic synonym,Solanum,domingense,
2932029,,2932028.0,Solanum recurvum,Poir.,species,heterotypic synonym,Solanum,recurvum,
2930842,,2930841.0,Cyphomandra cornigera,Dunal,species,synonym,Cyphomandra,cornigera,
2930844,,2930841.0,Cyphomandra maritima,L.B.Sm. & Downs,species,synonym,Cyphomandra,maritima,
11076975,,,Solanum callicarpifolium unranked,"(Vahl) M.Gómez, 1894",subspecies,doubtful,Solanum,callicarpifolium,
2930049,,2930048.0,Solanum callicarpifolium,Kunth & C.D.Bouché,species,synonym,Solanum,callicarpifolium,
