uuid,code,name,country,altCodes
40cf2989-1309-4d13-be27-351637a03e9f,HSUH,Hakim Sabzevari University,IR,[]
9bcac4eb-a3d8-4bd5-bdf7-a43232db3918,LPPH,National Council for Scientific and Technical Research (CONICET),AR,[]
a648632d-3372-4f4a-b7c9-8c7cb950c9c8,BUKH,Bukidnon State University,PH,[]
53ccbb9e-cfef-41c2-9a44-7bcbfb00ed27,BLMGJFO,"Bureau of Land Management, Grand Junction Field Office",US,[]
ebce7745-36f9-4e88-9e5d-a7a7dc41d825,MANS,"Faculty of Pharmacy, mansoura University, Egypt",EG,[]
1e48bf3a-f3b6-44ce-9b59-585dd879a5df,JABU,Herbarium JABOTI,BR,[]
a6c5490e-5ff7-49ef-894c-429dabcb4131,BORR,"UC Berkeley, Blue Oak Ranch Reserve",US,[]
7fd554e6-4f14-4d59-b4ea-faa50339e2a6,BKUCH,Bacha Khan University Charsadda,PK,[]
21a2cc87-3292-4e27-aabe-4c09f3ac857c,LUTI,Herbario LUTI,AR,[]
e99577c0-1ed2-4272-8ad8-bb88db430c74,KOTLI,"University of Kotli, Azad Jammu and Kashmir",PK,[]
c940cbbb-0e0f-4d77-b18f-f58c8a776a12,Verboom,Verboom Private Herbarium,NL,[]
fa34922f-23d5-4ad3-b3ad-87e26733b6ce,HJAUP,Jiangxi Agricultural University,CN,[]
f682184e-0578-4e7e-b928-e5a5147b3163,UEH,"University of Education Lahore, Pakistan",PK,[]
19b8cb4a-6d0b-4997-b4f4-32882653365d,CUMB,Universidade Federal do Pará,BR,[]
33f5c315-d423-4333-9651-09967b6ae4e6,CBGM,Instituto Politécnico Nacional,MX,[]
ca98a231-8314-4f23-9b43-98fc0933fb1b,KASOF,"Kahramanmaraş Sütçü İmam University, Faculty of Forestry",TR,[]
76707a3e-4bbd-4034-8867-780c90c6ac68,HOMU,Marymount University,US,[]
4e81ff61-cbe7-43c3-96a1-0082d97746cf,SLR,SuanLuang Rama IX Royal Botanic Garden,TH,[]
9389bf5c-7e49-45f1-a748-92d502cff684,GNHM,Gyeryonsan Natural History Museum,KR,[]
193e711e-a613-4bc5-860e-82098e9908fc,ITDI,"Industrial Technology Development Institute, Department of Science and Technology",PH,[]
8609440a-a2ea-4e76-a90b-034f607c48e1,UAM,University of Alberta Museums,CA,[]
a68a2ac7-a281-4960-b897-4862c59f265c,TIDREC-UM,"Tropical Infectious Diseases Research and Education Centre (TIDREC), Universiti Malaya",MY,['TIDREC']
e880ae43-3828-4bde-aef2-0448a04fe096,ILVO,"Research Institute for Agriculture, Fisheries and Food (ILVO)",BE,[]
a5276a79-b4f5-4660-b97c-7e0266f1bed1,SUZM,Swansea University Zoology Museum,GB,[]
6da4f792-c817-4953-9800-3ea876fa728f,TFRI,Taiwan Forestry Research Institute,TW,['FACT']
79985d89-7b6c-4c95-bcfe-fb38fcfba063,ZSFQ,"Museo de Zoología, Universidad San Francisco de Quito",EC,[]
86875e28-19fe-49ab-82f3-101e63eebc0e,PSPG,"Center for Food And Nutrition Studies, Universitas Gadjah Mada",ID,[]
3913b025-06db-494e-aa81-6f2f35098c40,UOL,Victoria Gallery and Museum,GB,[]
af8f20da-14c5-42c1-80b7-c0060dbd435c,LTR,University of Leicester,GB,['LTR']
a4b065bc-19c2-445a-8cff-f99066e6c930,BRSUG,University of Bristol,GB,[]
131a50c9-0371-4a0e-a9bc-7ce47e8da386,SFM,The Scottish Fisheries Museum,GB,[]
661b16d8-ff6f-4f6d-95d4-5faa6ff65da3,BICPC,"The Powell-Cotton Museum, Quex House and Gardens",GB,[]
a27138c0-a05b-44ed-bdb5-d57d4c135eb5,POOMS,Poole Museum,GB,[]
f06af7fe-6e3f-4ef1-8b24-1bfde80f79bf,PHMAG,Parc Howard Museum,GB,[]
db1cc0af-1490-4272-967b-ddd72bb219e2,LYMPM,Lyme Regis Museum,GB,[]
3a203761-09c9-4edb-a3e5-b89d43a59022,LANMS,Lancashire County Museums Service,GB,[]
705bdbcf-2f4c-47ca-983d-e7c704e16523,HE,Historic England,GB,[]
76f330fc-6579-45d7-a21c-92603878a8bd,HASMG,Hastings Museum and Art Gallery,GB,[]
ecd5f798-3668-4d1f-bf9e-d1dfc19bc40f,COLNH,Colchester Museums,GB,[]
26da6a5b-68ee-4200-9ee7-09a16b2ff0e9,CAASG,Carmarthenshire Museum,GB,[]
28fa0763-cdf6-4455-8ed0-80fd8a425ca9,BMAG,Buxton Museum and Art Gallery,GB,[]
2c521b92-4c8d-4fe6-990c-50d426708847,NSUR,Naturkundliche Sammlung Uri,CH,"['NMKA', 'NKKB']"
79cce11a-be46-4788-b93f-20c2a3b66115,ICAI,Pontificia Universidad Católica del Ecuador Sede Ibarra,EC,['ICAI']
17e8751d-b0c9-4e06-b3ca-9800f898951d,KSA,Sejong National Arboretum,KR,[]
e32edff9-164d-4fb7-babe-d3df12da6a47,FSUH,Frostburg State University,US,[]
3088690f-e4f5-4d2f-9348-e4b9a03b9eb4,TIO,"Third Institute of Oceanography, Ministry of Natural Resources, China",CN,[]
f9deca23-2720-4116-aa63-5a2cceaed434,RKMVCCH,RAMAKRISHNA MISSION VIVEKANANDA CENTENARY COLLEGE,IN,[]
d3d7ae85-3378-42e6-a310-920285d6fc9c,UMAD,Universidade da Madeira/University of Madeira,PT,[]
00a5eaee-acc1-4a8d-bf34-11218807209d,BOTSR,History Natural Museum of San Rafael,AR,[]
d3402fbc-187a-4af4-a507-d61d5362e276,HAVO,Hawaiʻi Volcanoes National Park,US,[]
0ab7fab1-1795-4383-9a28-3d53649774d6,BLS,Białystok University of Technology,PL,[]
b2ee2deb-74f8-4b4c-a118-5736b72e0227,EBYU,Erzincan Binali Yildirim University (Erzincan Binali Yıldırım Üniversitesi),TR,[]
82e0c6f0-9a27-46b3-b536-cc3e3d24e9e7,DUTHIE,University of Allahabad,IN,[]
f63db6f2-332f-4d7c-aae5-48cd50779731,CUFEFB,"ÇUKUROVA UNIVERSITY, SCIENCE AND LETTER FACULTY",TR,[]
4c9e3c7f-48ce-4b4e-aa53-631dfce208e9,HIUT,Herbarium of Department of Natural Resources I Isfahan University of Technology,IR,[]
b707fe35-e3d4-4388-a059-37521bd804be,JIW,Universidad Nacional de Colombia,CO,[]
72dd2b95-ebfa-46b8-957f-0e11f059d986,FTPK,Fort Polk Joint Readiness Training Center,US,[]
31989b04-8808-43ec-b800-f75e4441f35a,BLMBI,Bureau of Land Management,US,[]
a5f3986a-a3d5-48eb-9483-23f545579d56,LAARB,Louisiana State Arboretum,US,[]
853b84fe-6d19-49a0-9f25-d038b63e4add,HFAP,Flora d’Abruzzo,IT,[]
72bdaf01-6aca-46a7-ae69-54ced531ce76,TRGFGA,Gaziantep University,TR,[]
709a6cc3-911a-4b63-b444-81fe52aee418,PACE,Pace University,US,[]
d58f2453-75f9-48f9-bdf9-9a94b9e27360,ACFS,Aurora College,CA,[]
17a0ba40-487d-445a-bda8-b7466f95cbb0,GRAU,Universidade Federal do Maranhão,BR,[]
c2c3b897-e1d5-491a-92c3-9ccac86468a0,FST,Fondazione Scienza e Tecnica,IT,[]
51f95b80-a9ac-427a-8fb5-bed9979756a5,FSUH,Frostburg State University,US,[]
e92d0463-4df1-4e9e-a7e2-d9ee6b807be2,WBU,Wayland Baptist University,US,[]
7f20a69c-ff3d-4f92-9404-11a919c9e091,UTU,Dixie State University,US,[]
1f6037ea-a8aa-43b1-a16b-6e5c1da8f079,AKDE,"Akdeniz University, Herbarium of the Education Faculty",TR,[]
2b212b5a-1131-4d36-85a2-05ed5e35d287,NKML,Naturkundemuseum Leipzig,DE,['NML']
64483f13-cdda-4601-8e6f-ad387fd4fd44,TOSEHIM,The Orchid Society of Eastern Himalaya,IN,[]
85445abf-8af8-496b-8ab3-11dd7b44b419,LNU,Luhansk Taras Shevchenko National University,UA,[]
87d3ccca-d656-48d7-9baa-efa092854a3f,ORO,WWF Oasi Aree Protette Piemontesi - Giardino Botanico di Oropa,IT,[]
599d0c5b-f1ec-4545-8cc3-ab44e52ec925,CMNH,Cincinnati Museum Center (Cincinnati Museum of Natural History),US,[]
44c5f429-427c-4073-9b4d-d55e6fe2131e,UIDEP,Ruang Koleksi Biota Universitas Indonesia (Biota Collection Room),ID,[]
756d173c-dd2a-4b1b-a0fc-b54bb53b23c5,EFCC,Epping Forest Conservation Centre,GB,[]
56366b8b-6ba1-4ad6-aa37-c3542526df5a,PRAGATI,Pragati Green Meadows,IN,[]
